Code,Date,AdjustedClosingPrice,AdjustedOpenPrice,AdjustedHighPrice,AdjustedLowPrice,Volume,Frequency
BBRI,2024-11-01,4700.0,4770.0,4820.0,4700.0,235656400.0,65509.0
BBRI,2024-11-04,4720.0,4710.0,4770.0,4650.0,209831500.0,42974.0
BBRI,2024-11-05,4710.0,4690.0,4740.0,4680.0,199499300.0,31431.0
BBRI,2024-11-06,4600.0,4710.0,4730.0,4600.0,249059500.0,76559.0
BBRI,2024-11-07,4550.0,4610.0,4640.0,4550.0,296218600.0,57251.0
BBRI,2024-11-08,4520.0,4600.0,4640.0,4520.0,213862600.0,49336.0
BBRI,2024-11-11,4460.0,4470.0,4540.0,4370.0,507192300.0,98906.0
BBRI,2024-11-12,4500.0,4430.0,4520.0,4430.0,252380100.0,48675.0
BBRI,2024-11-13,4580.0,4470.0,4610.0,4460.0,209627200.0,40266.0
BBRI,2024-11-14,4500.0,4570.0,4590.0,4500.0,159871800.0,38574.0
BBRI,2024-11-15,4470.0,4450.0,4510.0,4450.0,106365600.0,29854.0
BBRI,2024-11-18,4350.0,4440.0,4460.0,4350.0,259191900.0,77996.0
BBRI,2024-11-19,4360.0,4350.0,4410.0,4350.0,294851500.0,42177.0
BBRI,2024-11-20,4330.0,4400.0,4440.0,4330.0,298734600.0,48855.0
BBRI,2024-11-21,4250.0,4280.0,4320.0,4250.0,376788400.0,75578.0
BBRI,2024-11-22,4400.0,4250.0,4420.0,4250.0,280188100.0,40613.0
BBRI,2024-11-25,4470.0,4420.0,4530.0,4420.0,401446400.0,46618.0
BBRI,2024-11-26,4400.0,4450.0,4470.0,4380.0,266677500.0,43037.0
BBRI,2024-11-28,4330.0,4350.0,4390.0,4330.0,277081800.0,46783.0
BBRI,2024-11-29,4250.0,4280.0,4300.0,4250.0,412519800.0,72758.0
BBRI,2024-12-02,4170.0,4270.0,4280.0,4160.0,337188900.0,85736.0
BBRI,2024-12-03,4240.0,4240.0,4250.0,4210.0,384146700.0,40299.0
BBRI,2024-12-04,4350.0,4240.0,4370.0,4220.0,345762200.0,47848.0
BBRI,2024-12-05,4260.0,4310.0,4340.0,4250.0,183249300.0,42323.0
BBRI,2024-12-06,4310.0,4250.0,4310.0,4220.0,151433000.0,30908.0
BBRI,2024-12-09,4390.0,4310.0,4390.0,4300.0,158897200.0,34100.0
BBRI,2024-12-10,4360.0,4370.0,4380.0,4290.0,196160900.0,34288.0
BBRI,2024-12-11,4380.0,4350.0,4430.0,4340.0,203980300.0,39519.0
BBRI,2024-12-12,4260.0,4350.0,4360.0,4260.0,226698900.0,56779.0
BBRI,2024-12-13,4170.0,4240.0,4280.0,4170.0,287838100.0,90218.0
BBRI,2024-12-16,4250.0,4160.0,4280.0,4150.0,325441900.0,66832.0
BBRI,2024-12-17,4150.0,4260.0,4290.0,4150.0,327919000.0,74587.0
BBRI,2024-12-18,4150.0,4180.0,4210.0,4130.0,205055500.0,52523.0
BBRI,2024-12-19,4090.0,4090.0,4110.0,4050.0,381986300.0,81083.0
BBRI,2024-12-20,4060.0,4080.0,4120.0,4050.0,252689600.0,53237.0
BBRI,2024-12-23,4210.0,4130.0,4210.0,4110.0,167689800.0,35539.0
BBRI,2024-12-24,4200.0,4230.0,4250.0,4170.0,199536100.0,33307.0
BBRI,2024-12-27,4100.0,4090.0,4120.0,4080.0,143104400.0,41250.0
BBRI,2024-12-30,4080.0,4090.0,4120.0,4070.0,153934700.0,39707.0
BBRI,2025-01-02,4210.0,4100.0,4220.0,4090.0,181361700.0,40462.0
BBRI,2025-01-03,4150.0,4230.0,4240.0,4150.0,134632300.0,33953.0
BBRI,2025-01-06,4100.0,4180.0,4180.0,4100.0,153048700.0,34446.0
BBRI,2025-01-07,4030.0,4080.0,4090.0,4030.0,171997400.0,47278.0
BBRI,2025-01-08,4080.0,4040.0,4100.0,4030.0,133655700.0,29080.0
BBRI,2025-01-09,4030.0,4070.0,4100.0,4030.0,99300400.0,29758.0
BBRI,2025-01-10,4010.0,4030.0,4060.0,4010.0,132774300.0,32459.0
BBRI,2025-01-13,3850.0,3990.0,3990.0,3850.0,413408100.0,119419.0
BBRI,2025-01-14,3800.0,3830.0,3920.0,3800.0,293621700.0,66617.0
BBRI,2025-01-15,4090.0,3840.0,4090.0,3840.0,407813500.0,74329.0
BBRI,2025-01-16,4160.0,4200.0,4240.0,4130.0,349387500.0,62284.0
BBRI,2025-01-17,4090.0,4150.0,4190.0,4080.0,268758600.0,48171.0
BBRI,2025-01-20,4220.0,4140.0,4220.0,4130.0,167348600.0,36508.0
BBRI,2025-01-21,4260.0,4270.0,4380.0,4250.0,345223800.0,60127.0
BBRI,2025-01-22,4260.0,4310.0,4320.0,4230.0,193218900.0,37394.0
BBRI,2025-01-23,4300.0,4270.0,4340.0,4260.0,216018100.0,30433.0
BBRI,2025-01-24,4190.0,4350.0,4350.0,4190.0,276421900.0,47723.0
BBRI,2025-01-30,4120.0,4130.0,4170.0,4090.0,220222400.0,43510.0
BBRI,2025-01-31,4220.0,4170.0,4280.0,4150.0,192622700.0,34970.0
BBRI,2025-02-03,4250.0,4190.0,4270.0,4150.0,220285800.0,42967.0
BBRI,2025-02-04,4260.0,4270.0,4300.0,4200.0,231917500.0,42046.0
BBRI,2025-02-05,4140.0,4250.0,4250.0,4140.0,209834400.0,43941.0
BBRI,2025-02-06,3970.0,4120.0,4160.0,3940.0,378545500.0,97137.0
BBRI,2025-02-07,4030.0,3980.0,4030.0,3940.0,259636200.0,43746.0
BBRI,2025-02-10,3970.0,4000.0,4050.0,3950.0,201999400.0,45984.0
BBRI,2025-02-11,4010.0,3970.0,4040.0,3900.0,276382800.0,37375.0
BBRI,2025-02-12,4030.0,3970.0,4060.0,3950.0,362571900.0,35683.0
BBRI,2025-02-13,3990.0,4000.0,4030.0,3960.0,341640600.0,41805.0
BBRI,2025-02-14,3860.0,4000.0,4010.0,3850.0,524909600.0,93888.0
BBRI,2025-02-17,4030.0,3870.0,4030.0,3870.0,265737100.0,48832.0
BBRI,2025-02-18,4150.0,4040.0,4180.0,4030.0,374350700.0,47598.0
BBRI,2025-02-19,4020.0,4160.0,4180.0,4010.0,348358600.0,43071.0
BBRI,2025-02-20,3910.0,3970.0,4020.0,3910.0,312753300.0,69944.0
BBRI,2025-02-21,3890.0,3910.0,3930.0,3870.0,205268800.0,37472.0
BBRI,2025-02-24,3920.0,3900.0,3940.0,3870.0,138610800.0,26027.0
BBRI,2025-02-25,3800.0,3880.0,3920.0,3800.0,404555100.0,89869.0
BBRI,2025-02-26,3820.0,3800.0,3860.0,3760.0,242834100.0,51355.0
BBRI,2025-02-27,3630.0,3800.0,3800.0,3610.0,410928000.0,86397.0
BBRI,2025-02-28,3360.0,3500.0,3540.0,3360.0,1000597600.0,153136.0
BBRI,2025-03-03,3670.0,3520.0,3740.0,3470.0,744626800.0,115779.0
BBRI,2025-03-04,3670.0,3670.0,3720.0,3600.0,338434700.0,52065.0
BBRI,2025-03-05,3840.0,3720.0,3900.0,3710.0,441151000.0,60973.0
BBRI,2025-03-06,3950.0,3880.0,3990.0,3870.0,434485100.0,49672.0
BBRI,2025-03-07,3810.0,3930.0,3930.0,3810.0,243793600.0,54291.0
BBRI,2025-03-10,3760.0,3790.0,3810.0,3730.0,232192200.0,39462.0
BBRI,2025-03-11,3790.0,3700.0,3790.0,3660.0,273961800.0,37019.0
BBRI,2025-03-12,3890.0,3810.0,3920.0,3810.0,271631200.0,35047.0
